revenue,expenditure,gdp,population,popu_agri,id,data,pcgdp,pcrevenue,pcexpenditure
.24214,.50642,3.8887,.23,.19,306,,16.907391,1.0527827,2.2018261
.00561,.20456,.27,.07,.05,307,,3.8571429,.080142856,2.9222858
.00887,.27292,.63101,.11,.08,308,,5.7364545,.080636367,2.481091
.00351,.1978,.24024,.06,.06,309,,4.0040002,.058499999,3.2966666
.12573,.35044,1.768,.11,.08,310,,16.072727,1.143,3.1858182
.02636,.31315,1.58182,.15,.13,311,,10.545466,.17573333,2.0876667
.16146,.46043,5,.24,.12,312,,20.833334,.67275,1.9184583
.20632,.42923,4.60725,,,313,,,,
.22304,.44462,3.72999,,,314,,,,
.08543,.50263,2.61,,,315,1,,,
.16901,.58391,3.8,.21,.18,316,1,18.095238,.80480951,2.7805238
.03142,.42302,.84,.3,.25,317,1,2.8,.10473333,1.4100667
.03449,.72612,6.31635,,,318,,,,
.32595,.67136,6.18,,,319,,,,
.00722,.23657,.275,,,320,,,,
.02621,.29667,.92189,,,321,,,,
.03739,.29024,.67991,,,322,,,,
.11866,.38526,3.07679,.14,.1,323,,21.977072,.84757143,2.751857
.08006,.28524,2.5045,,,324,,,,
.56695,1.03624,13.5,.45,.31,325,,30,1.2598889,2.3027556
.27149,.68108,5.28,,,326,,,,
.79245,.63678,23,,,327,,,,
.44362,.40687,14.7,,,328,,,,
.47842,.4176,10.8,,,329,,,,
.8798899999999999,.78041,17.3,,,330,,,,
.5119899999999999,.97079,9,.36,.3,331,1,25,1.4221945,2.6966388
.45027,.79498,10.3,.2,.15,332,,51.5,2.2513499,3.9749
.33969,.6982699999999999,9.460000000000001,.19,.15,333,1,49.789474,1.7878422,3.6751053
.05854,.30679,2,.14,.1,334,,14.285714,.41814286,2.1913571
.05388,.37307,2.52,.17,.13,335,1,14.823529,.31694117,2.1945293
.63609,.96328,16.63,,,336,,,,
.72012,1.05387,44.242,,,337,,,,
.82769,1.15166,23.39276,,,338,,,,
.09186,.25939,2.91684,,,339,,,,
.09241,.15488,1.26211,,,340,,,,
.53932,1.25011,13.12646,,,341,,,,
.35322,.8323199999999999,6.732,.35,.18,342,1,19.234285,1.0092,2.3780572
.2223,.54203,3.78016,.21,.09,343,,18.000761,1.0585715,2.5810952
.3791,.77869,6.57877,.11,.05,344,1,59.806999,3.4463637,7.079
.24751,.45698,7.32474,,,345,,,,
.16465,.38941,6.0931,,,346,,,,
.14679,.38363,5.58399,,,347,,,,
.41403,.5676099999999999,9.40455,,,348,,,,
.35027,.90322,8.37392,,,349,,,,
.16949,.95072,6.60905,,,350,,,,
.04742,.73433,2.97838,.3,.25,351,,9.9279337,.15806666,2.4477668
.10671,.74096,4.17261,.35,.31,352,,11.921742,.30488572,2.1170285
.07827,.72933,2.07237,.18,.12,353,,11.513166,.43483335,4.0518332
.07443,.59272,2.34372,.24,.19,354,,9.7655001,.31012499,2.4696667
.25204,.80575,4.23971,.25,.2,355,,16.958839,1.00816,3.223
.09741,.96353,4.77537,.48,.42,356,,9.9486876,.2029375,2.0073543
.08421,.73229,3.71977,.34,.3,357,1,10.9405,.24767648,2.1537941
.12532,.91555,5.07465,.6,.52,358,,8.4577503,.20886667,1.5259167
.11321,.91461,5.19338,.6,.54,359,1,8.655633,.18868333,1.52435
.47428,1.18415,19.853,,,360,,,,
.03601,.8411999999999999,5.31,.54,.45,361,,9.833333,.066685185,1.5577778
.08673,.76646,5.717,.4,.34,362,1,14.2925,.21682499,1.91615
.06036,.75129,6.14,.4,.32,363,1,15.35,.15090001,1.878225
.03491,.45356,2.077,.18,.13,364,1,11.538889,.19394444,2.5197778
.07523,.83805,4.619,.44,.37,365,1,10.497727,.17097728,1.904659
.08714,.80604,5.029,.31,.25,366,1,16.22258,.28109679,2.6001291
.2855,.58188,8.032999999999999,.08,.01,367,,100.4125,3.5687499,7.2735
1.99661,2.0471,29.00131,,,368,,,,
.45678,.91417,15.99627,.35,.17,369,1,45.703629,1.3050857,2.6119144
2.03354,2.49482,30.00267,.29,.14,370,1,103.45748,7.012207,8.602828
.06509,.39959,2.28845,.07,.04,371,1,32.692142,.92985713,5.7084284
.39672,.85282,11.03331,.1,.04,372,1,110.3331,3.9672,8.5282001
.10985,.51534,2.98142,.14,.07,373,,21.295856,.78464288,3.681
.20561,.60812,7.00082,.1,.06,374,,70.008202,2.0560999,6.0812001
1.0721,1.31403,20.03805,.15,.07,375,1,133.58701,7.1473331,8.7601995
.18875,.57426,7.89262,,,376,,,,
.03734,.65349,4.90323,.33,.24,377,1,14.858273,.11315151,1.9802728
.02532,.64833,3.97401,.34,.24,378,1,11.688265,.074470587,1.906853
.01957,.53699,2.00266,.28,.06,379,,7.1523571,.069892853,1.9178214
.13838,.6117899999999999,3.34103,.14,.02,380,1,23.8645,.98842859,4.3699284
.07722,.31351,2.31185,.06,.01,381,1,38.530834,1.2869999,5.2251668
.01826,.26788,1.22089,.04,.02,382,1,30.522249,.45649999,6.697
.10963,.34821,2.89632,.03,.02,383,,96.543999,3.6543334,11.607
.6773400000000001,1.40877,7.9641,.3,0,384,1,26.547001,2.2578001,4.6959
.08109,.7040999999999999,5.28577,.39,.01,385,,13.553256,.20792307,1.8053846
.05088,.69504,4.9229,.43,.3,386,1,11.448605,.11832558,1.6163721
.01801,.31189,1.57553,.09,0,387,,17.505888,.20011111,3.4654443
.02047,.39711,1.81593,.16,0,388,,11.349563,.1279375,2.4819374
.38217,.87624,10.851,,,389,,,,
.11761,.49033,4.1,.28,.19,390,1,14.642858,.42003572,1.7511786
.05528,.32973,1.16,.12,.05,391,1,9.666667,.46066666,2.74775
.26065,.75199,5.64247,.33,.22,392,1,17.098394,.78984851,2.2787576
.10425,.53433,2.46,.14,.08,393,,17.571428,.74464285,3.8166428
.36526,.64977,5.07171,.06,.02,394,1,84.528503,6.0876665,10.8295
.13296,.56509,5.6819,.29,.2,395,1,19.592758,.45848277,1.9485862
.16046,.59104,6.08686,,,396,,,,
.05891,.42019,2.58058,.23,.09,397,1,11.219913,.25613043,1.826913
.02582,.41355,1.5024,.18,.09,398,1,8.3466663,.14344445,2.2974999
.04105,.49672,2.27314,.35,.16,399,1,6.4946856,.11728571,1.4191999
.07602,.45388,2.23767,.32,.2,400,1,6.9927187,.23756251,1.418375
.16443,.53554,4.32414,.2560000038146973,.18,401,1,16.891172,.64230466,2.091953
.07624,.44569,3.45036,.25,.14,402,1,13.80144,.30496001,1.78276
.02939,.42593,1.70235,.22,.15,403,1,7.7379546,.13359091,1.9360454
.06566,.43221,2.79399,.22,.1,404,,12.699955,.29845455,1.9645909
.024,.5940800000000001,2.2016,.21,.15,405,1,10.483809,.11428571,2.8289523
.19642,.65177,5.58412,.34,.18,406,1,16.423882,.57770586,1.9169706
.12001,.57168,4.5592,.29,.06,407,,15.721379,.4138276,1.9713104
.01819,.11795,.49517,.05,.01,408,,9.9034004,.36379999,2.359
.0498,.77242,2.6005,.35,.3,409,1,7.4299998,.14228572,2.2069142
.0238,.61026,1.64559,.26,.17,410,,6.3291922,.091538459,2.3471539
.0364,.78917,2.61763,.4,.31,411,1,6.544075,.090999998,1.9729249
.01865,.5922500000000001,2.18097,.31,.25,412,,7.035387,.060161289,1.9104838
.08016,.41675,2.55013,.09,0,413,1,28.334778,.89066666,4.6305556
.39126,.59093,7.67243,.16,.01,414,1,47.952686,2.445375,3.6933124
.04862,.24201,1.25577,.04,.02,415,1,31.394251,1.2155,6.0502501
.03467,.23576,1.5742,.03,.02,416,,52.473331,1.1556667,7.8586669
.08618,.32134,1.7474,.07,.02,417,,24.962856,1.2311429,4.5905714
.15113,.4732,3.30754,.08,.03,418,,41.34425,1.889125,5.915
.14352,.38201,3.49478,.07,.04,419,1,49.92543,2.0502858,5.4572859
.04585,.42211,1.71123,.21,.13,420,1,8.1487141,.21833333,2.0100477
.05134,.20223,1.22425,.03,.01,421,,40.808334,1.7113333,6.7410002
.06167,.28181,1.03713,.07,.05,422,1,14.816143,.88099998,4.025857
.1604,.41967,3.01673,.08,.05,423,1,37.709126,2.0050001,5.2458749
.08279,.51325,2.01471,.1,.07,424,,20.1471,.82789999,5.1325002
.24292,.88811,8.265879999999999,.14,.05,425,1,59.042,1.7351428,6.3436427
.02764,.31822,1.251,.03,.01,426,1,41.700001,.92133331,10.607333
.04788,.36606,1.365,.02,0,427,,68.25,2.3940001,18.302999
1.34608,1.87409,30.16341,,,428,1,,,
1.06359,1.90414,32.5568,,,429,,,,
.91749,1.66054,25.20148,,,430,,,,
.56014,1.04969,14.23593,,,431,,,,
.99347,1.77141,25.672,,,432,,,,
.41865,.79677,14.91204,,,433,,,,
.7724800000000001,1.31797,21.05,,,434,,,,
.5866400000000001,1.01926,6.60807,,,435,,,,
.85545,1.52743,20.60411,,,436,,,,
.14938,.73173,9.300000000000001,.48,.4,437,1,19.375,.31120834,1.5244375
.15557,.61186,5.75126,.36,.28,438,,15.975722,.43213889,1.6996111
.15963,.68433,7.08888,.45,.39,439,,15.753067,.35473335,1.5207334
.20971,.87277,9.423690000000001,.7,.57,440,1,13.462415,.2995857,1.2468143
.9717,.9389999999999999,12.36369,,,441,,,,
.70243,.80818,6.72,,,442,,,,
.81046,1.0028,11.06,,,443,,,,
1.25194,2.02946,30.04978,,,444,,,,
.73059,.9452,9.25,,,445,,,,
1.22699,1.72272,34.8,,,446,,,,
.04981,.3338,3,.08,.08,447,,37.5,.62262499,4.1725001
1.11477,1.93242,34.26381,1.03,.66,448,1,33.265835,1.082301,1.8761359
.74099,1.46733,25.38388,.83,.64,449,1,30.582989,.89275903,1.7678674
.63673,1.33626,24.25257,.92,.76,450,1,26.361488,.69209784,1.4524565
.47931,.60629,4.32357,,,451,,,,
.1886,.3447,2.7,,,452,,,,
.24572,.5023,.33,,,453,,,,
.45247,.75084,9,,,454,,,,
.08923,.53775,7.6,.38,.31,455,,20,.23481579,1.4151316
.13245,.80888,7.4018,.52,.42,456,1,14.234231,.25471154,1.5555384
.62348,1.77526,33.32,1.13,.9,457,,29.486725,.55175221,1.5710266
.17726,.27168,2.59498,,,458,,,,
.12496,.30871,1.61442,,,459,,,,
